parameter,value
log_likelihood,-1119.204311165841
iterations,4
first_iteration,1
converged,0
final_ll_improvement,15.558669912457
convergence_absolute_tolerance,0.000000000000
convergence_relative_tolerance,0.000000000000
convergence_patience,2
valid_votes,7858
correct_classifications,7391
classification_pct,94.0570
w1,1.00000000000000000
w2,0.37085654300736426
beta,7.90831570487065516
temporal_model,0
dimensions,2
periods,1
optimizer_precision,strict
block_solver,cobyla
scalar_search,local
likelihood_evaluator,legacy-nearest
bill_start,canonical-zero
fortran_replication,1
w2_upper_bound,none
d2_identification,none
d2_scale_factor,1.00000000000000000
raw_w2_before_identification,0.37085654300736426
beta_upper_bound,none
evaluate_only,0
fix_global_params,0
fix_roll_calls,0
fix_legislators,0
adaptive_tolerances,0
threads,1
optimizer_trace_exported,0
elapsed_seconds,1.01
