 ,2399,2403,2404,2409,2410,2420,2421,2422,2423,2424,2425,2426,2427,2428,2429,2430,2431,2440,2441,2451,2460,2462,2463,2464,2465,2466,2468,2469,2470,2481,2487,2488,2489,2497,2498,2499,2502,2503,2504,2505,2506,2507,2509,2510,2511,2512,2513,2521,2522,2526,2527,2533,2534,2540,2541,2542,2543,2544,2554,2557,2558,2559,2563,2568,2569,2570,2571,2572,2574,2579,2580,2581,2582,2584,2585,2586,2587,2588,2589,2590,2591,2592,2593,2594,2595,2596,2597,2598,2599,2600,2601,2602,2603,2604,2605,2606,2607,2608,2609,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2620,2621,2622,2623,2624,2625,2626,2627,2628,2629,2630,2631,2632,2633,2634,2635,2636,2637,2638,2639,2642,2643,2644,2648,2652,2659,2660,2661,2663,2664,2665,2666,2668,2669,2670,2676,2683,2684,2685,2689,2690,2691,2692,2693
161,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,9,9,1,6,6,6,6,6,1,1,1,1,1,9,9,9,9,1,1,1,1,9,9,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,9,1,6,1,6,1,1,1,1,6,1,1,1,6,1,6,6,6,6,6,6,1,6,1,6,1,9,1,6,6,6,6,1,6,1,6,6,9,9,1,6,1,6,6,1,9,1,1,1,6,6,6,1,1,1,1,6,9,6,6,1,1,1,1,1,6,9,1,1,1,1,9,9,9,9,1,1,1,1,1,1,1,9,1,1,1,1,1,6,1,1
164,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,6,6,6,6,6,1,9,9,9,9,9,9,9,1,1,1,1,1,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,6,1,1,1,1,1,9,9,9,9,9,1,6,6,1,6,6,6,6,6,6,1,6,1,6,1,6,1,6,6,6,1,1,9,1,6,6,6,1,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,1,1,6,9,6,6,1,1,1,1,1,6,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
165,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,9,9,6,6,6,9,9,9,9,9,9,1,1,1,1,9,9,9,9,9,6,1,1,1,1,1,6,1,9,1,9,1,1,1,1,6,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,6,1,6,6,6,6,6,6,6,6,1,6,1,6,1,1,6,6,6,6,6,1,1,6,6,1,1,1,1,1,9,9,9,9,1,1,1,1,1,1,1,1,9,9,9,1,1,6,1,1
166,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,6,6,6,6,6,1,9,9,9,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,6,1,1,1,1,1,1,9,9,9,9,1,1,6,1,6,6,6,6,6,6,1,6,1,6,1,6,1,6,6,6,6,1,6,1,6,6,6,1,1,6,6,6,6,1,6,1,1,1,6,6,6,1,1,1,1,9,6,6,6,1,1,1,1,1,6,9,1,1,1,1,9,1,1,1,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9
169,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,9,9,9,1,9,9,9,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,1,1,1,1,1,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9
170,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
172,1,9,9,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,9,9,6,6,6,9,9,9,9,9,9,1,9,9,1,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,6,1,1,1,1,6,1,1,6,6,1,6,6,6,6,6,6,6,6,9,6,9,6,9,6,6,6,6,9,6,9,6,6,6,6,6,6,6,6,6,1,6,1,1,6,6,6,6,6,9,1,1,6,6,6,6,1,1,1,1,1,6,1,9,9,9,1,9,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,1,6,1,1
173,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
175,1,9,9,9,9,1,1,1,6,6,1,1,1,1,1,1,1,9,9,1,6,6,6,6,6,1,1,1,1,9,1,1,1,1,1,9,9,9,6,6,6,9,1,6,6,6,1,1,1,1,1,1,1,1,1,9,6,9,9,9,9,9,6,1,6,1,6,1,9,9,1,9,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,6,1,6,6,6,6,6,6,6,6,1,6,1,6,9,1,6,6,6,6,6,1,1,6,6,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,1,9,9,9,9,1,1,6,1,1
176,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,1,1,1,1,9,9,9,1,1,1,1,9,9,9,9,9
177,1,9,9,9,9,1,1,6,1,6,1,1,9,1,1,1,1,9,9,9,1,1,1,1,1,1,9,9,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,9,9,9,1,1,1,6,1,6,1,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,9,9,9,9,1,6,1,1,9,9,9,9,9,9,9,1,1,1,1,1
178,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,6,6,6,6,6,6,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,9,1,6,1,9,9,9,9,6,9,9,9,9,9,1,1,1,6,1,1,1,6,1,6,6,6,6,6,6,1,6,1,6,1,6,1,6,6,6,1,1,6,9,6,6,9,6,1,6,1,6,6,1,6,1,1,1,6,6,6,1,9,1,1,6,9,6,6,1,1,9,1,1,6,1,1,1,1,9,9,1,1,1,1,9,1,9,1,1,1,1,9,9,9,9,9,9,9,9
179,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,6,6,6,6,6,1,9,9,9,9,1,1,1,1,1,9,9,9,6,6,6,9,1,6,6,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,9,6,6,6,6,6,6,6,6,6,6,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,1,6,1,1,6,6,6,6,6,1,1,6,6,9,9,9,9,1,1,1,1,1,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,9
181,1,1,1,9,9,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,9,9,9,9,9,1,6,1,6,1,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,1,1,1,9,9,1,1,6,1,9,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,9,9,9,9,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1
187,1,1,1,9,9,1,1,1,6,6,1,1,1,1,1,9,9,1,1,9,6,6,6,6,6,1,9,9,9,1,1,1,1,1,1,9,9,9,6,6,6,9,1,6,6,6,1,1,1,9,9,1,1,9,9,9,9,9,1,1,1,1,6,1,6,1,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,1,1,1,1,9,9,9,9,1,1,1,1,9,1,1,9,9,9,9,9
190,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,6,1,1,1,1,9,9,9,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1
193,1,1,1,9,9,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,9,1,1
195,1,1,1,9,9,1,1,6,9,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,6,9,9,9,9,9,9,9,1,9,1,1,9,1,1,1,1,1,1,1,1,6,1,1,1,1,9,9,9,9,9,9,9,1,1,1,1,1,1,6,1,6,1,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,9,9,9,9,1,1,9,1,9,9,9,9,9,9,9,9
202,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
205,9,1,1,9,9,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,9,9,9,9,9,1,9,9,9,1,9,9,9,9,9,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,1,6,1,1,9,9,9,9,9,9,9,1,1,9,9,9
206,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,1,9,9,9,1,1,1,1,1,1,1,9,9,6,6,6,9,1,6,6,6,1,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,6,1,6,1,6,1,9,1,1,6,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,6,1,6,6,6,9,6,6,6,6,1,6,1,6,1,1,6,6,6,6,6,1,1,6,6,1,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,9,1,1,1,1,1,6,1,1
208,1,1,1,9,9,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,1,1,1,9,1,1,1,1,1,1,1,9,9,6,6,6,9,1,6,6,6,1,1,1,9,9,9,9,1,1,1,6,1,9,1,1,9,6,1,6,1,6,1,1,1,1,6,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,6,1,6,6,6,6,6,6,6,6,1,6,1,6,1,1,6,6,6,6,6,1,1,6,6,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,1,1,6,1,1
209,9,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,1,1,1,9,1,1,1,1,1,1,1,9,9,6,6,6,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,6,9,1,1,1,6,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,6,1,6,6,6,6,6,6,6,6,1,6,1,6,1,1,6,6,6,6,6,1,1,6,6,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,6,1,1
211,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1,1,6,1,6,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,9,1,1
221,1,1,1,9,9,1,1,6,1,1,1,1,6,1,1,1,9,1,1,1,1,1,1,1,1,1,9,9,9,1,9,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,1,6,1,6,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,1,1,1,9,9,9,9,1,1,1,1,1,1,1,1
222,1,1,1,1,1,1,1,1,1,1,6,6,9,9,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,6,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1
234,1,9,9,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,1,9,9,9,1,1,1,1,1,1,1,9,9,6,6,6,9,1,6,6,6,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,6,1,6,6,6,1,6,6,6,6,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,6,1,6,6,6,6,6,6,6,6,9,6,1,6,1,1,6,9,6,6,6,1,1,6,6,1,9,9,9,1,1,9,9,9,1,1,1,1,1,1,1,9,1,1,1,1,1,6,1,1
239,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,9,1,9,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,1,9,1,1,1,1,1,1,1,1,1
